Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
Launch,1248,2,1,37,3,1.65,0.00%,.3,0.79,2326.0
T01_DemoAir_Launch,1248,2,1,37,3,1.65,0.00%,.3,0.79,2326.0
ClickLogin,1248,1,0,35,2,1.35,0.00%,.3,0.80,2357.0
T02_DemoAir_ClickLogin,1248,1,0,35,2,1.35,0.00%,.3,0.80,2357.0
login_handler,1248,9,2,36,13,5.20,0.00%,.3,0.18,520.0
customer_homepage,1248,10,2,48,17,6.25,0.00%,.3,0.94,2780.0
T03_DemoAir_Credentials,1248,20,4,72,29,9.32,0.00%,.3,1.12,3300.0
BookTickets,1248,1,0,53,2,1.74,0.00%,.3,1.25,3703.0
T04_DemoAir_BookTickets,1248,1,0,53,2,1.74,0.00%,.3,1.25,3703.0
view_flights_form_handler,1248,10,2,33,15,5.51,99.52%,.3,0.57,1688.4
T05_DemoAir_FlightHandler,1248,10,2,33,15,5.51,99.52%,.3,0.57,1688.4
SelectFlight,1248,1,0,31,2,1.44,0.00%,.3,1.28,3775.0
T06_DemoAir_SelectFlight,1248,1,0,31,2,1.44,0.00%,.3,1.28,3775.0
002 /demoair/add_ticket_details_form_handler.php,1248,13,4,178,19,7.86,99.52%,.3,0.36,1051.6
003 /demoair/payment_details.php,1248,9,2,88,15,5.99,0.00%,.3,1.29,3809.4
T07_DemoAir_SubmitTicket,1248,23,6,181,31,10.41,99.52%,.3,1.65,4861.0
004 /demoair/payment_details_form_handler.php,1248,11,2,60,17,6.18,99.52%,.3,0.28,827.7
005 /demoair/ticket_success.php,1248,1,0,20,2,1.06,0.00%,.3,0.62,1826.0
T08_DemoAir_Payment,1248,12,2,61,18,6.31,99.52%,.3,0.90,2653.8
logout_handler,1248,2,1,35,4,1.94,0.00%,.3,0.70,2074.0
logout_handler-0,1248,1,0,29,2,1.20,0.00%,.3,0.16,473.0
logout_handler-1,1248,1,0,29,2,1.28,0.00%,.3,0.54,1601.0
T09_DemoAir_Logout,1248,2,1,35,4,1.94,0.00%,.3,0.70,2074.0
TOTAL,28704,6,0,181,17,8.14,25.96%,8.0,18.82,2415.2
