Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch,270065,170,101,434,573,858,1,3593,0.000%,31.04194,70.51,10.67
T01_DemoAir_Launch,270065,170,101,434,573,858,1,3593,0.000%,31.04188,70.51,10.67
ClickLogin,270038,106,5,78,141,641,0,162868,0.000%,31.03905,71.43,22.64
T02_DemoAir_ClickLogin,270038,106,5,78,141,641,0,162868,0.000%,31.03905,71.43,22.64
login_handler,270030,291,65,344,483,837,2,177479,0.000%,31.00677,15.75,30.46
customer_homepage,270018,184,28,288,439,828,2,166694,0.000%,31.03682,84.24,25.46
T03_DemoAir_Credentials,270018,472,124,607,828,1370,4,177690,0.000%,31.03679,100.00,55.95
BookTickets,270015,91,3,29,82,201,0,169807,0.027%,30.98493,112.02,24.69
T04_DemoAir_BookTickets,270015,91,3,29,82,201,0,169807,0.027%,30.98493,112.02,24.69
view_flights_form_handler,270013,162,18,252,380,695,2,166590,99.923%,31.03629,51.08,32.54
T05_DemoAir_FlightHandler,270013,162,18,252,380,695,2,166590,99.923%,31.03629,51.08,32.54
SelectFlight,270006,89,2,24,72,219,0,165604,0.027%,31.02288,114.34,30.05
T06_DemoAir_SelectFlight,270006,89,2,24,72,219,0,165604,0.027%,31.02288,114.34,30.05
002 /demoair/add_ticket_details_form_handler.php,269999,183,37,310,441,789,4,169766,99.897%,30.97357,31.87,34.85
003 /demoair/payment_details.php,269994,155,15,237,365,695,2,161184,0.028%,31.03419,115.43,25.49
T07_DemoAir_SubmitTicket,269994,338,74,531,732,1216,6,169957,99.897%,31.03415,147.36,60.40
004 /demoair/payment_details_form_handler.php,269991,161,13,230,367,759,2,160816,99.923%,31.03384,25.13,30.19
005 /demoair/ticket_success.php,269983,79,2,16,65,188,0,163855,0.026%,30.97410,55.23,25.47
T08_DemoAir_Payment,269983,239,19,260,400,812,2,164221,99.923%,30.97396,80.31,55.60
logout_handler,269975,163,4,19,67,199,1,163870,0.052%,30.98067,62.73,49.16
logout_handler-0,269900,44,2,7,24,138,0,119099,0.000%,31.02359,14.33,24.69
logout_handler-1,269900,81,2,5,15,119,0,163862,0.000%,30.97207,48.42,24.50
T09_DemoAir_Logout,269975,163,4,19,67,199,1,163870,0.052%,30.98066,62.73,49.16
TOTAL,6210034,165,8,231,383,780,0,177690,26.076%,712.39131,1680.05,731.66
